OrderNumber,SalesChannel,Salesteamindex,Orderqty,unitprice,unitcost,SalesPrice,CostPrice,Profit,SalesTeam,Region,ProductCategory,ProductName,state
SO83,Wholesale,9,7,398.28,284.48,2787.96,1991.36,796.6,Joshua Ryan,Midwest,Sports,Baseball,Arizona
SO84,Online,7,5,336.25,240.18,1681.25,1200.9,480.35,Shawn Cook,Midwest,Kitchenery,Dinnerware,Arizona
SO85,Distributor,23,2,558.02,398.59,1116.04,797.18,318.86,Douglas Tucker,Midwest,Accessories,Accessories,California
SO86,Distributor,26,6,255.33,182.38,1531.98,1094.28,437.7,Donald Reynolds,South,Lighting,Candles,California
SO87,Distributor,1,3,169.45,121.03,508.35,363.09,145.26,Adam Hernandez,Northeast,Kitchenery,Cookware,Alabama
SO88,Online,4,2,622.16,444.4,1244.32,888.8,355.52,Chris Armstrong,Northeast,Kitchenery,Serveware,Alabama
SO89,Online,20,8,526.28,375.91,4210.24,3007.28,1202.96,Joshua Kenedy,West,Drinkware,Bar Tools,California
SO90,Online,21,6,502.85,359.18,3017.1,2155.08,862.02,Samuel Fowler,Midwest,Decoratives,Floral,California
SO91,Online,11,9,598.29,427.35,5384.61,3846.15,1538.46,Joshua Little,South,Decoratives,Ornaments,Arizona
SO92,In-Store,24,4,455.67,325.48,1822.68,1301.92,520.76,Roy Rice,Midwest,Decoratives,Wall Frames,California
SO93,In-Store,26,6,295.89,211.35,1775.34,1268.1,507.24,Donald Reynolds,South,Lighting,Candles,California
SO94,Wholesale,25,9,502.8,359.15,4525.2,3232.35,1292.85,Patrick Graham,South,Electronics,TV and video,California
SO95,In-Store,21,4,292.28,208.77,1169.12,835.08,334.04,Samuel Fowler,Midwest,Decoratives,Floral,California
SO96,Online,14,2,413.4,295.29,826.8,590.58,236.22,Paul Holmes,Midwest,Accessories,Mirrors,Arizona
SO97,Online,2,4,422.82,302.02,1691.28,1208.08,483.2,Keith Griffin,Northeast,Decoratives,Photo Frames,Alabama
SO98,Online,4,2,246.9,176.36,493.8,352.72,141.08,Chris Armstrong,Northeast,Kitchenery,Serveware,Alabama
SO99,In-Store,2,2,309.6,221.14,619.2,442.28,176.92,Keith Griffin,Northeast,Decoratives,Photo Frames,Alabama
SO100,Online,3,3,232.9,166.35,698.7,499.05,199.65,Jerry Green,West,Lighting,Table Lamps,Alabama
SO101,Online,8,7,473.24,338.03,3312.68,2366.21,946.47,George Lewis,West,Drinkware,Cocktail Glasses,Arizona
SO102,Distributor,22,7,191.15,136.54,1338.05,955.78,382.27,Joe Price,Northeast,Drinkware,Wine Storage,California
SO103,Distributor,4,5,315.5,225.35,1577.5,1126.75,450.75,Chris Armstrong,Northeast,Kitchenery,Serveware,Alabama
SO104,In-Store,22,9,323.45,231.03,2911.05,2079.27,831.78,Joe Price,Northeast,Drinkware,Wine Storage,California
SO105,Wholesale,19,4,503.09,359.35,2012.36,1437.4,574.96,Nicholas Cunningham,South,Collections,Vanities,California
SO106,Distributor,5,3,324.35,231.68,973.05,695.04,278.01,Stephen Payne,South,Furniture,Bathroom Furniture,Arkansas
SO107,Distributor,11,9,374.95,267.82,3374.55,2410.38,964.17,Joshua Little,South,Decoratives,Ornaments,Arizona
SO108,Online,5,10,396.18,282.99,3961.8,2829.9,1131.9,Stephen Payne,South,Furniture,Bathroom Furniture,Arkansas
SO109,In-Store,8,6,157.8,112.71,946.8,676.26,270.54,George Lewis,West,Drinkware,Cocktail Glasses,Arizona
SO110,Wholesale,17,9,363.72,259.8,3273.48,2338.2,935.28,Frank Brown,Northeast,Furniture,Furniture Cushions,California
SO111,Online,18,3,365.57,261.12,1096.71,783.36,313.35,Shawn Wallace,South,Sports,Basketball,California
SO112,Wholesale,16,7,223.38,159.56,1563.66,1116.92,446.74,Anthony Berry,West,Drinkware,Stemware,California
SO113,Distributor,10,3,402.34,287.39,1207.02,862.17,344.85,Jonathan Hawkins,West,Beddings,Blankets,Arizona
SO114,Wholesale,13,3,576.93,412.1,1730.79,1236.3,494.49,Todd Roberts,West,Kitchenery,Bakeware,Arizona
SO115,In-Store,7,9,517.68,369.77,4659.12,3327.93,1331.19,Shawn Cook,Midwest,Kitchenery,Dinnerware,Arizona
SO116,In-Store,5,1,523.06,373.61,523.06,373.61,149.45,Stephen Payne,South,Furniture,Bathroom Furniture,Arkansas
SO117,In-Store,11,5,366.48,261.77,1832.4,1308.85,523.55,Joshua Little,South,Decoratives,Ornaments,Arizona
SO118,In-Store,18,7,224.25,160.18,1569.75,1121.26,448.49,Shawn Wallace,South,Sports,Basketball,California
SO119,Online,3,7,576.8,412,4037.6,2884,1153.6,Jerry Green,West,Lighting,Table Lamps,Alabama
SO120,In-Store,14,4,461.8,329.86,1847.2,1319.44,527.76,Paul Holmes,Midwest,Accessories,Mirrors,Arizona
SO121,In-Store,22,3,327.29,233.78,981.87,701.34,280.53,Joe Price,Northeast,Drinkware,Wine Storage,California
SO122,Distributor,4,4,635.01,453.58,2540.04,1814.32,725.72,Chris Armstrong,Northeast,Kitchenery,Serveware,Alabama
SO123,Distributor,18,6,594.19,424.42,3565.14,2546.52,1018.62,Shawn Wallace,South,Sports,Basketball,California
SO124,Distributor,8,1,292.82,209.16,292.82,209.16,83.66,George Lewis,West,Drinkware,Cocktail Glasses,Arizona
SO125,Wholesale,11,8,307.91,219.94,2463.28,1759.52,703.76,Joshua Little,South,Decoratives,Ornaments,Arizona
SO126,In-Store,26,2,393.35,280.96,786.7,561.92,224.78,Donald Reynolds,South,Lighting,Candles,California
SO127,In-Store,14,10,339.81,242.72,3398.1,2427.2,970.9,Paul Holmes,Midwest,Accessories,Mirrors,Arizona
SO128,Distributor,14,4,612.31,437.36,2449.24,1749.44,699.8,Paul Holmes,Midwest,Accessories,Mirrors,Arizona
SO129,Online,14,7,304.59,217.57,2132.13,1522.99,609.14,Paul Holmes,Midwest,Accessories,Mirrors,Arizona
SO130,Online,10,6,168.1,120.07,1008.6,720.42,288.18,Jonathan Hawkins,West,Beddings,Blankets,Arizona
SO131,In-Store,14,10,343.45,245.32,3434.5,2453.2,981.3,Paul Holmes,Midwest,Accessories,Mirrors,Arizona
SO132,Distributor,13,4,238.01,170.01,952.04,680.04,272,Todd Roberts,West,Kitchenery,Bakeware,Arizona
SO133,Wholesale,26,10,638.92,456.37,6389.2,4563.7,1825.5,Donald Reynolds,South,Lighting,Candles,California
SO134,Distributor,3,8,153.04,109.31,1224.32,874.48,349.84,Jerry Green,West,Lighting,Table Lamps,Alabama
SO135,In-Store,3,5,556.07,397.19,2780.35,1985.95,794.4,Jerry Green,West,Lighting,Table Lamps,Alabama
SO136,Wholesale,17,3,225.04,160.74,675.12,482.22,192.9,Frank Brown,Northeast,Furniture,Furniture Cushions,California
SO137,Online,1,8,431.37,308.12,3450.96,2464.96,986,Adam Hernandez,Northeast,Kitchenery,Cookware,Alabama
SO138,Online,26,7,638.33,455.95,4468.31,3191.65,1276.66,Donald Reynolds,South,Lighting,Candles,California
SO139,Online,24,4,639.52,456.8,2558.08,1827.2,730.88,Roy Rice,Midwest,Decoratives,Wall Frames,California
SO140,In-Store,24,6,491.96,351.4,2951.76,2108.4,843.36,Roy Rice,Midwest,Decoratives,Wall Frames,California
SO141,Online,7,7,208.05,148.6,1456.35,1040.2,416.15,Shawn Cook,Midwest,Kitchenery,Dinnerware,Arizona
SO142,In-Store,6,7,202.22,144.45,1415.54,1011.15,404.39,Joshua Bennett,Northeast,Electronics,Computers,Arizona
SO143,Distributor,15,2,381.36,272.4,762.72,544.8,217.92,Roger Alexander,Midwest,Furniture,Outdoor Furniture,Arizona
SO144,In-Store,7,9,580.14,414.38,5221.26,3729.42,1491.84,Shawn Cook,Midwest,Kitchenery,Dinnerware,Arizona
SO145,Wholesale,13,4,624.7,446.21,2498.8,1784.84,713.96,Todd Roberts,West,Kitchenery,Bakeware,Arizona
SO146,In-Store,23,5,541,386.43,2705,1932.15,772.85,Douglas Tucker,Midwest,Accessories,Accessories,California
SO147,Online,21,8,235.04,167.89,1880.32,1343.12,537.2,Samuel Fowler,Midwest,Decoratives,Floral,California
SO148,Online,11,1,538.27,384.48,538.27,384.48,153.79,Joshua Little,South,Decoratives,Ornaments,Arizona
SO149,Wholesale,4,7,314.01,224.3,2198.07,1570.1,627.97,Chris Armstrong,Northeast,Kitchenery,Serveware,Alabama
SO150,Wholesale,25,3,402.2,287.29,1206.6,861.87,344.73,Patrick Graham,South,Electronics,TV and video,California
SO151,Online,17,10,482.29,344.49,4822.9,3444.9,1378,Frank Brown,Northeast,Furniture,Furniture Cushions,California
SO152,Distributor,21,10,429.26,306.61,4292.6,3066.1,1226.5,Samuel Fowler,Midwest,Decoratives,Floral,California
SO153,Online,9,5,371.1,265.07,1855.5,1325.35,530.15,Joshua Ryan,Midwest,Sports,Baseball,Arizona
SO154,In-Store,12,5,164.04,117.17,820.2,585.85,234.35,Carl Nguyen,Midwest,Furniture,Dining Furniture,Arizona
SO155,In-Store,6,6,520.73,371.95,3124.38,2231.7,892.68,Joshua Bennett,Northeast,Electronics,Computers,Arizona
SO156,Online,1,2,463.27,330.91,926.54,661.82,264.72,Adam Hernandez,Northeast,Kitchenery,Cookware,Alabama
SO157,Wholesale,1,10,447.27,319.48,4472.7,3194.8,1277.9,Adam Hernandez,Northeast,Kitchenery,Cookware,Alabama
SO158,Online,20,1,528.16,377.25,528.16,377.25,150.91,Joshua Kenedy,West,Drinkware,Bar Tools,California
SO159,In-Store,13,2,280.81,200.58,561.62,401.16,160.46,Todd Roberts,West,Kitchenery,Bakeware,Arizona
SO160,Online,3,9,254.07,181.48,2286.63,1633.32,653.31,Jerry Green,West,Lighting,Table Lamps,Alabama
SO161,Online,14,8,480.04,342.89,3840.32,2743.12,1097.2,Paul Holmes,Midwest,Accessories,Mirrors,Arizona
SO162,Online,7,10,335.52,239.65,3355.2,2396.5,958.7,Shawn Cook,Midwest,Kitchenery,Dinnerware,Arizona
SO163,In-Store,5,10,264.89,189.2,2648.9,1892,756.9,Stephen Payne,South,Furniture,Bathroom Furniture,Arkansas
SO164,Online,13,2,204.6,146.14,409.2,292.28,116.92,Todd Roberts,West,Kitchenery,Bakeware,Arizona
SO165,In-Store,4,5,544.44,388.89,2722.2,1944.45,777.75,Chris Armstrong,Northeast,Kitchenery,Serveware,Alabama
SO166,Wholesale,9,8,519.66,371.19,4157.28,2969.52,1187.76,Joshua Ryan,Midwest,Sports,Baseball,Arizona
SO167,Distributor,9,3,208.68,149.06,626.04,447.18,178.86,Joshua Ryan,Midwest,Sports,Baseball,Arizona
SO168,Wholesale,24,8,512.78,366.27,4102.24,2930.16,1172.08,Roy Rice,Midwest,Decoratives,Wall Frames,California
SO169,Wholesale,5,2,328.47,234.62,656.94,469.24,187.7,Stephen Payne,South,Furniture,Bathroom Furniture,Arkansas
SO170,Online,11,1,169.13,120.81,169.13,120.81,48.32,Joshua Little,South,Decoratives,Ornaments,Arizona
SO171,Distributor,22,2,372.87,266.34,745.74,532.68,213.06,Joe Price,Northeast,Drinkware,Wine Storage,California
SO172,In-Store,20,4,302.63,216.16,1210.52,864.64,345.88,Joshua Kenedy,West,Drinkware,Bar Tools,California
SO173,Distributor,4,5,236.89,169.2,1184.45,846,338.45,Chris Armstrong,Northeast,Kitchenery,Serveware,Alabama
SO174,Online,9,9,230.19,164.42,2071.71,1479.78,591.93,Joshua Ryan,Midwest,Sports,Baseball,Arizona
SO175,Wholesale,1,2,455,325,910,650,260,Adam Hernandez,Northeast,Kitchenery,Cookware,Alabama
SO176,In-Store,14,4,387.58,276.84,1550.32,1107.36,442.96,Paul Holmes,Midwest,Accessories,Mirrors,Arizona
SO177,Wholesale,3,2,616.25,440.18,1232.5,880.36,352.14,Jerry Green,West,Lighting,Table Lamps,Alabama
SO178,Distributor,3,9,320.75,229.11,2886.75,2061.99,824.76,Jerry Green,West,Lighting,Table Lamps,Alabama
SO179,Online,3,4,630.64,450.45,2522.56,1801.8,720.76,Jerry Green,West,Lighting,Table Lamps,Alabama
SO180,In-Store,14,10,648.02,462.87,6480.2,4628.7,1851.5,Paul Holmes,Midwest,Accessories,Mirrors,Arizona
SO181,Online,14,3,604.15,431.53,1812.45,1294.59,517.86,Paul Holmes,Midwest,Accessories,Mirrors,Arizona
SO182,In-Store,17,2,178.6,127.57,357.2,255.14,102.06,Frank Brown,Northeast,Furniture,Furniture Cushions,California
SO183,Wholesale,7,9,214.71,153.36,1932.39,1380.24,552.15,Shawn Cook,Midwest,Kitchenery,Dinnerware,Arizona
SO184,In-Store,3,2,540.19,385.85,1080.38,771.7,308.68,Jerry Green,West,Lighting,Table Lamps,Alabama
SO185,In-Store,5,2,610.73,436.24,1221.46,872.48,348.98,Stephen Payne,South,Furniture,Bathroom Furniture,Arkansas
SO186,Online,1,2,232.85,166.32,465.7,332.64,133.06,Adam Hernandez,Northeast,Kitchenery,Cookware,Alabama
SO187,Distributor,6,1,456.21,325.86,456.21,325.86,130.35,Joshua Bennett,Northeast,Electronics,Computers,Arizona
SO188,Wholesale,17,3,231.19,165.13,693.57,495.39,198.18,Frank Brown,Northeast,Furniture,Furniture Cushions,California
SO189,Distributor,7,5,416.48,297.48,2082.4,1487.4,595,Shawn Cook,Midwest,Kitchenery,Dinnerware,Arizona
SO190,Online,25,3,296.63,211.88,889.89,635.64,254.25,Patrick Graham,South,Electronics,TV and video,California
SO191,Wholesale,8,8,444.05,317.18,3552.4,2537.44,1014.96,George Lewis,West,Drinkware,Cocktail Glasses,Arizona
SO192,Wholesale,7,6,356.35,254.54,2138.1,1527.24,610.86,Shawn Cook,Midwest,Kitchenery,Dinnerware,Arizona
SO193,Distributor,25,6,401.2,286.57,2407.2,1719.42,687.78,Patrick Graham,South,Electronics,TV and video,California
SO194,Distributor,4,6,389.06,277.9,2334.36,1667.4,666.96,Chris Armstrong,Northeast,Kitchenery,Serveware,Alabama
SO195,Wholesale,6,3,152.2,108.71,456.6,326.13,130.47,Joshua Bennett,Northeast,Electronics,Computers,Arizona
SO196,Online,16,2,398.81,284.86,797.62,569.72,227.9,Anthony Berry,West,Drinkware,Stemware,California
SO197,Online,3,5,393.33,280.95,1966.65,1404.75,561.9,Jerry Green,West,Lighting,Table Lamps,Alabama
SO198,Online,10,4,179.43,128.16,717.72,512.64,205.08,Jonathan Hawkins,West,Beddings,Blankets,Arizona
SO199,Distributor,14,5,604.1,431.5,3020.5,2157.5,863,Paul Holmes,Midwest,Accessories,Mirrors,Arizona
SO200,In-Store,18,3,200.32,143.09,600.96,429.27,171.69,Shawn Wallace,South,Sports,Basketball,California
SO201,Online,4,7,648.4,463.14,4538.8,3241.98,1296.82,Chris Armstrong,Northeast,Kitchenery,Serveware,Alabama
SO202,Distributor,20,7,560.66,400.47,3924.62,2803.29,1121.33,Joshua Kenedy,West,Drinkware,Bar Tools,California
SO203,Wholesale,7,5,154.29,110.21,771.45,551.05,220.4,Shawn Cook,Midwest,Kitchenery,Dinnerware,Arizona
SO204,Distributor,7,10,595.34,425.24,5953.4,4252.4,1701,Shawn Cook,Midwest,Kitchenery,Dinnerware,Arizona
SO205,Online,8,3,447.85,319.9,1343.55,959.7,383.85,George Lewis,West,Drinkware,Cocktail Glasses,Arizona
SO206,Distributor,21,3,338.03,241.45,1014.09,724.35,289.74,Samuel Fowler,Midwest,Decoratives,Floral,California
SO207,In-Store,18,8,414.29,295.92,3314.32,2367.36,946.96,Shawn Wallace,South,Sports,Basketball,California
SO208,Distributor,10,10,162.36,115.97,1623.6,1159.7,463.9,Jonathan Hawkins,West,Beddings,Blankets,Arizona
SO209,Online,2,6,330.02,235.73,1980.12,1414.38,565.74,Keith Griffin,Northeast,Decoratives,Photo Frames,Alabama
SO210,Distributor,11,7,558.07,398.62,3906.49,2790.34,1116.15,Joshua Little,South,Decoratives,Ornaments,Arizona
SO211,Wholesale,10,10,279.74,199.82,2797.4,1998.2,799.2,Jonathan Hawkins,West,Beddings,Blankets,Arizona
SO212,Online,2,5,617.48,441.06,3087.4,2205.3,882.1,Keith Griffin,Northeast,Decoratives,Photo Frames,Alabama
SO213,Online,24,6,438.42,313.16,2630.52,1878.96,751.56,Roy Rice,Midwest,Decoratives,Wall Frames,California
SO214,Online,12,10,445.84,318.46,4458.4,3184.6,1273.8,Carl Nguyen,Midwest,Furniture,Dining Furniture,Arizona
SO215,In-Store,16,10,603.83,431.31,6038.3,4313.1,1725.2,Anthony Berry,West,Drinkware,Stemware,California
SO216,Distributor,10,1,309.25,220.89,309.25,220.89,88.36,Jonathan Hawkins,West,Beddings,Blankets,Arizona
SO217,In-Store,6,3,498.22,355.87,1494.66,1067.61,427.05,Joshua Bennett,Northeast,Electronics,Computers,Arizona
SO218,Distributor,5,8,481.33,343.81,3850.64,2750.48,1100.16,Stephen Payne,South,Furniture,Bathroom Furniture,Arkansas
SO219,Online,23,1,478.9,342.07,478.9,342.07,136.83,Douglas Tucker,Midwest,Accessories,Accessories,California
SO220,Wholesale,17,9,363.72,259.8,3273.48,2338.2,935.28,Frank Brown,Northeast,Furniture,Furniture Cushions,California
SO221,Online,13,6,419.08,299.34,2514.48,1796.04,718.44,Todd Roberts,West,Kitchenery,Bakeware,Arizona
SO222,In-Store,10,6,591.18,422.27,3547.08,2533.62,1013.46,Jonathan Hawkins,West,Beddings,Blankets,Arizona
SO223,Distributor,18,4,156.32,111.65,625.28,446.6,178.68,Shawn Wallace,South,Sports,Basketball,California
SO224,Distributor,3,4,433.8,309.86,1735.2,1239.44,495.76,Jerry Green,West,Lighting,Table Lamps,Alabama
